Player,Nation,Squad 22-23,Comp,Actual Squad,Age,Height,Weight,Foot,MP,Starts,Min,Goals,Shots,SoT,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotDist,Assists,PasProg,PasAtt,PasLive,PasDead,PasCmp,SCA,GCA,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDriPast,Blocks,BlkSh,BlkPass,Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CarDis,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,Recov,AerWon,AerLost,Value (M)
Igor,BRA,Fiorentina,Serie A,Brighton & Hove Albion,26,185.0,84.0,Left,34,19,1877,0.01,1.04,0.36,0.0,0.0,0.0,84.6,97.6,1614.8,0.12,7.859999999999999,97.6,92.7,4.63,84.6,2.6,0.2,3.84,2.32,1.79,1.35,0.6799999999999999,1.16,3.16,1.1099999999999999,2.0300000000000002,2.43,2.66,0.08,115.69999999999999,6.48,35.87,63.9,16.76,68.69999999999999,401.5,238.8,2.68,1.99,1.52,3.09,1.04,0.08,0.08,2.84,1.81,0.24,0.36,2.32,11.2,3.23,2.04,10.0
Hiroki Ito,JPN,Stuttgart,Bundesliga,VfB Stuttgart,25,188.0,84.0,Left,20,19,1695,0.0,0.71,0.29,0.06,0.0,0.0,92.7,119.5,1760.7,0.06,6.470000000000001,119.5,103.1,16.18,92.7,4.57,0.12,2.29,1.0,1.29,0.88,0.12,0.71,2.4000000000000004,1.06,1.35,3.58,4.58,0.0,137.1,10.280000000000001,47.4,57.6,32.69,70.0,325.4,163.2,1.53,2.05,0.71,4.390000000000001,0.24,0.0,0.0,0.71,0.76,0.12,6.09,1.0,9.870000000000001,4.86,3.46,9.5
Juan Jesus,BRA,Napoli,Serie A,Napoli,33,185.0,83.0,Left,24,24,2025,0.01,0.98,0.15,0.0,0.0,0.0,90.6,112.7,1667.0,0.0,7.34,112.7,99.80000000000001,12.629999999999999,90.6,2.52,0.21,2.92,2.02,1.76,0.89,0.28,0.74,3.0999999999999996,1.42,1.67,2.8,6.4399999999999995,0.0,132.2,10.530000000000001,52.3,69.3,11.44,72.3,373.29999999999995,192.1,1.65,1.48,0.38,1.23,0.43,0.0,0.0,1.95,1.7999999999999998,0.0,2.28,2.02,10.620000000000001,4.3,2.63,2.7
Juanpe,ESP,Girona,La Liga,Girona,33,190.0,80.0,Right,25,19,1721,0.0,0.61,0.09,0.09,0.0,0.0,72.1,91.0,1385.1,0.18,5.29,91.0,81.4,9.04,72.1,3.4000000000000004,0.18,1.6099999999999999,0.78,0.7,0.91,0.0,0.56,0.84,0.22,0.62,1.79,4.65,0.13,104.6,10.27,42.15,43.8,19.06,64.19999999999999,351.4,166.8,3.16,1.63,0.53,7.069999999999999,0.56,0.0,0.0,1.48,0.66,0.09,4.55,0.78,6.78,1.5,1.6099999999999999,1.5
Ozan Kabak,TUR,Hoffenheim,Bundesliga,TSG Hoffenheim,24,186.0,86.0,Right,39,31,2777,0.06,3.37,0.79,0.07,0.0,0.0,79.30000000000001,96.9,1403.4,0.12,9.28,96.9,91.8,4.7,79.30000000000001,4.1899999999999995,0.6,4.25,2.06,2.01,1.6,0.6499999999999999,1.94,1.95,0.64,1.3199999999999998,2.9400000000000004,3.67,0.0,120.9,8.040000000000001,41.21,55.8,25.159999999999997,71.8,365.5,185.2,3.11,2.5,2.26,6.2299999999999995,0.4,0.06,0.06,3.35,2.06,0.07,1.47,2.06,11.4,4.56,4.05,8.0
Pierre Kalulu,FRA,Milan,Serie A,Milan,24,184.0,82.0,Right,42,34,3160,0.04,2.5300000000000002,0.53,0.0,0.12,0.12,70.19999999999999,89.4,1269.1,0.0,7.279999999999999,89.4,83.4,5.6499999999999995,70.19999999999999,3.8899999999999997,0.12,2.5999999999999996,1.48,1.39,0.93,0.29,0.74,2.63,0.75,1.87,1.99,2.59,0.05,110.69999999999999,5.71,38.54,48.900000000000006,24.67,64.7,384.70000000000005,198.39999999999998,3.9299999999999997,2.15,1.31,7.8999999999999995,0.35,0.0,0.0,1.77,2.33,0.24,4.63,1.48,10.149999999999999,2.71,3.2,26.0
Thilo Kehrer,GER,West Ham,Premier League,Monaco,27,186.0,76.0,Right,39,38,3339,0.0,0.95,0.21,0.0,0.0,0.0,79.1,97.4,1362.5,0.0,5.609999999999999,97.4,85.3,11.89,79.1,1.88,0.16999999999999998,2.79,1.7999999999999998,1.53,0.8900000000000001,0.37,1.81,1.8399999999999999,0.73,1.1,2.25,6.7,0.11,116.3,10.809999999999999,50.4,50.900000000000006,15.58,57.099999999999994,252.5,131.5,1.46,1.29,0.43,2.38,0.33999999999999997,0.0,0.0,2.31,0.53,0.19,1.5,1.7999999999999998,8.89,3.7199999999999998,2.66,8.0
Lloyd Kelly,ENG,Bournemouth,Premier League,AFC Bournemouth,25,190.0,76.0,Left,28,26,2202,0.0,0.48000000000000004,0.07,0.0,0.0,0.0,103.3,121.2,1915.9,0.27,9.43,121.2,112.80000000000001,7.99,103.3,2.81,0.34,3.75,2.01,1.87,1.54,0.34,1.06,2.51,1.24,1.27,2.4699999999999998,6.25,0.14,140.5,11.38,51.9,74.2,15.5,74.0,345.9,185.3,0.88,1.27,0.62,1.34,0.61,0.07,0.07,2.04,2.2,0.0,0.74,2.01,11.129999999999999,4.449999999999999,3.01,5.0
Max Kilman,ENG,Wolves,Premier League,Wolverhampton Wanderers,27,194.0,89.0,Left,38,35,3177,0.04,1.94,1.05,0.3,0.0,0.0,100.8,123.3,1701.4,0.45,12.45,123.3,116.0,6.91,100.8,7.43,0.69,3.6500000000000004,2.2399999999999998,1.5699999999999998,1.43,0.65,1.1099999999999999,4.23,1.3299999999999998,2.8899999999999997,1.28,5.06,0.08,145.7,13.55,49.14,60.9,36.85,97.8,549.4,277.8,5.33,3.3400000000000003,1.66,8.25,0.29000000000000004,0.0,0.0,1.35,1.51,0.08,5.04,2.2399999999999998,11.18,2.29,2.1,13.0
Presnel Kimpembe,FRA,Paris S-G,Ligue 1,Paris Saint Germain,28,189.0,80.0,Left,20,12,1136,0.0,1.31,0.18,0.0,0.0,0.0,106.5,125.5,1732.0,0.18,10.89,125.5,104.7,20.369999999999997,106.5,5.73,0.18,5.539999999999999,2.98,2.76,2.12,0.6399999999999999,3.04,2.04,0.58,1.46,2.15,2.98,0.0,148.0,8.95,38.0,73.0,39.12,103.7,607.5999999999999,297.2,5.14,4.14,1.63,11.98,0.78,0.0,0.0,5.21,1.16,0.32,8.77,2.98,13.989999999999998,2.12,1.69,27.5
