Player,Age,Squad,Height,Weight,Foot,Value
A. Sangante CB,21,"Le Havre
2021 ~ 2026","189cm / 6'2""",76kg / 168lbs,Right,€3.9M
L. Costa CB,22,"Toulouse
2021 ~ 2026","188cm / 6'2""",87kg / 192lbs,Right,€3.9M
M. Diarra LB CB,22,"Toulouse
2019 ~ 2024","185cm / 6'1""",73kg / 161lbs,Left,€2.8M
T. Jantschke CB,33,"Borussia Mönchengladbach
2009 ~ 2024","177cm / 5'10""",76kg / 168lbs,Right,€900K
D. Heintz CB LB,29,"FC Köln
2023 ~ 2024","188cm / 6'2""",89kg / 196lbs,Left,€1.6M
L. Kilian CB,23,"FC Köln
2022 ~ 2025","192cm / 6'4""",91kg / 201lbs,Right,€2.4M
R. Gumny RB CB RM,25,"FC Augsburg
2020 ~ 2025","182cm / 6'0""",71kg / 157lbs,Right,€2.2M
T. Siersleben CB,23,"Heidenheim
2023 ~ 2026","187cm / 6'2""",80kg / 176lbs,Left,€2.4M
M. Lovato CB,23,"Torino
Jun 30, 2024 On loan","188cm / 6'2""",78kg / 172lbs,Right,€3.9M
C. Kabasele CB,32,"Udinese
2023 ~ 2025","187cm / 6'2""",84kg / 185lbs,Right,€1.2M
E. Ebosse CB,24,"Udinese
2022 ~ 2027","185cm / 6'1""",75kg / 165lbs,Left,€2.7M
D. Coppola CB,19,"Hellas Verona
2021 ~ 2027","192cm / 6'4""",78kg / 172lbs,Right,€3.8M
M. Wieteska CB,26,"Cagliari
2023 ~ 2027","187cm / 6'2""",77kg / 170lbs,Right,€2M
F. Fazio CB,36,"Salernitana
2022 ~ 2024","195cm / 6'5""",85kg / 187lbs,Right,€325K
N. Gyömbér CB,30,"Salernitana
2020 ~ 2025","189cm / 6'2""",74kg / 163lbs,Right,€1.5M
L. Pirola CB,21,"Salernitana
2023 ~ 2027","185cm / 6'1""",79kg / 174lbs,Left,€4.3M
J. Vásquez CB LB,24,"Genoa
2022 ~ 2026","185cm / 6'1""",72kg / 159lbs,Left,€3.5M
S. Romagnoli CB,33,"Frosinone
2023 ~ 2025","193cm / 6'4""",85kg / 187lbs,Right,€900K
K. Bonifazi CB,27,"Frosinone
Jun 30, 2024 On loan","187cm / 6'2""",85kg / 187lbs,Right,€2M
G. Donati CB,33,"Monza
2023 ~ 2024","178cm / 5'10""",76kg / 168lbs,Right,€900K
M. Viti CB,21,"Sassuolo
Jun 30, 2024 On loan","190cm / 6'3""",82kg / 181lbs,Left,€3.9M
Pacheco CB,22,"Real Sociedad
2021 ~ 2027","184cm / 6'0""",77kg / 170lbs,Left,€3.9M
C. Özkacar CB LB,22,"Valencia
2023 ~ 2028","187cm / 6'2""",85kg / 187lbs,Left,€3.5M
Jorge Meré CB,26,"Cádiz
2022 ~ 2026","182cm / 6'0""",78kg / 172lbs,Right,€2.4M
Ignasi Miquel CB,30,"Granada
2022 ~ 2025","188cm / 6'2""",82kg / 181lbs,Left,€1.5M
A. Omobamidele CB,21,"Nottingham Forest
2023 ~ 2028","190cm / 6'3""",78kg / 172lbs,Right,€3.3M
Murillo CB,20,"Nottingham Forest
2023 ~ 2028","184cm / 6'0""",79kg / 174lbs,Left,€3.6M
J. Tomkins CB,34,"Crystal Palace
2016 ~ 2024","192cm / 6'4""",74kg / 163lbs,Right,€525K
R. Burke CB,26,"Luton Town
2021 ~ 2026","189cm / 6'2""",81kg / 179lbs,Right,€1.8M
G. Osho CB,24,"Luton Town
2020 ~ 2024","185cm / 6'1""",70kg / 154lbs,Right,€3M
T. Mengi CB,21,"Luton Town
2023 ~ 2027","183cm / 6'0""",78kg / 172lbs,Right,€3.7M
A. Beka Beka CDM CM CB,22,"Nice
2022 ~ 2027","178cm / 5'10""",75kg / 165lbs,Right,€3.4M
J. Le Cardinal RB CB,25,"Brest
Jun 30, 2024 On loan","184cm / 6'0""",74kg / 163lbs,Right,€1.8M
