Player,Nation,Squad 22-23,Comp,Actual Squad,Age,Height,Weight,Foot,MP,Starts,Min,Goals,Shots,SoT,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotDist,Assists,PasProg,PasAtt,PasLive,PasDead,PasCmp,SCA,GCA,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDriPast,Blocks,BlkSh,BlkPass,Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CarDis,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,Recov,AerWon,AerLost,Value (M),score_complessivo,similarita_coseno,similarita_ponderata_coseno
Caleb Okoli,ITA,Atalanta,Serie A,Frosinone,22,191.0,91.0,0,25,20,1802,0.0,0.81,0.21,0.0,0.0,0.0,66.4,84.5,1300.1999999999998,0.0,3.17,84.5,80.6,3.78,66.4,0.6799999999999999,0.0,2.98,2.19,1.87,1.02,0.11,1.5699999999999998,2.47,1.57,0.8999999999999999,3.9,9.17,0.32,107.4,15.39,62.400000000000006,40.8,4.98,51.1,214.2,94.7,0.3,0.71,0.51,0.32,0.7,0.0,0.0,1.85,0.93,0.0,0.2,2.19,9.58,6.81,3.39,4.9,0.3678570901779707,0.7878911803400922,0.7333821054233982
Jhon Lucumi,COL,Bologna,Serie A,Bologna,26,187.0,82.0,1,28,28,2450,0.0,0.35,0.12,0.0,0.0,0.0,75.4,88.1,1591.8,0.06,2.56,88.1,77.7,10.35,75.4,0.7999999999999999,0.12,2.03,1.4,1.34,0.64,0.06,0.58,1.22,0.81,0.41,1.4400000000000002,4.42,0.1,100.3,41.06,70.6,28.6,1.51,56.5,277.2,153.2,0.87,0.41,0.29,0.17,0.29,0.0,0.0,0.87,0.52,0.0,0.06,1.4,8.05,1.6700000000000002,0.87,7.5,0.0638947628649895,0.8089317006415783,0.7322577694170631
Cristian Romero,ARG,Tottenham,Premier League,Tottenham Hotspur,26,185.0,79.0,0,24,17,1607,0.0,1.75,0.37,0.0,0.0,0.0,81.4,98.7,1464.8,0.0,9.05,98.7,94.3,4.1,81.4,1.47,0.0,4.73,2.87,2.3,2.14,0.3,1.18,2.72,0.67,2.05,2.08,4.53,0.37,120.6,13.07,47.1,61.7,12.04,67.7,299.5,160.5,1.33,1.2,0.82,1.82,0.96,0.08,0.08,2.3,1.4700000000000002,0.22,0.22,2.87,10.81,3.63,3.51,45.5,0.018280927755802444,0.8113187854859154,0.7313957391039804
Marco Friedl,AUT,Werder Bremen,Bundesliga,Werder Bremen,26,187.0,82.0,1,21,18,1539,0.0,0.18,0.06,0.0,0.0,0.0,105.9,127.2,2139.9,0.0,14.46,127.2,123.7,3.27,105.9,7.68,0.06,1.9,1.25,1.31,0.6,0.0,4.04,1.43,0.6,0.83,5.65,3.93,0.06,147.60000000000002,6.85,49.900000000000006,84.2,13.93,98.1,465.9,181.9,0.48,0.36,0.42,13.54,0.3,0.06,0.0,4.16,1.07,0.12,1.19,1.25,11.9,1.25,1.37,4.0,0.0638947628649895,0.8052175636271046,0.7289150461040369
Chris Mepham,WAL,Bournemouth,Premier League,AFC Bournemouth,26,190.0,75.0,0,26,25,2154,0.0,0.35,0.12,0.0,0.0,0.0,66.30000000000001,78.9,1266.6,0.0,2.26,78.9,75.69999999999999,3.09,66.30000000000001,0.8999999999999999,0.15,5.09,2.81,3.89,1.05,0.15,0.74,4.609999999999999,2.83,1.79,3.34,9.28,0.0,102.9,22.2,67.7,34.099999999999994,1.74,48.5,246.7,124.7,0.36,0.47,0.62,0.15,0.59,0.0,0.0,2.51,0.96,0.0,0.0,2.81,9.93,3.37,3.74,2.2,0.023483218663082544,0.8063117202181389,0.7272327194228216
Chris Smalling,ENG,Roma,Serie A,Roma,34,194.0,81.0,0,38,36,3164,0.06,3.81,1.03,0.74,0.0,0.0,67.8,84.0,1149.2,0.44,7.31,84.0,74.6,9.03,67.8,6.430000000000001,0.67,1.47,0.88,0.92,0.39,0.15,0.99,1.93,1.04,0.89,1.67,4.45,0.0,104.3,8.299999999999999,34.06,40.5,31.17,59.1,346.1,206.0,5.51,3.17,1.4200000000000002,9.02,0.25,0.0,0.0,1.19,1.36,0.59,4.37,0.88,7.59,1.73,1.04,20.0,0.10536759259575874,0.7993974981767967,0.7264140971802001
Daniel Vivian,ESP,Athletic Club,La Liga,Athletic Club,24,183.0,83.0,0,20,14,1321,0.01,5.5,0.14,0.0,0.0,0.0,62.6,92.1,1137.2,1.67,7.8,92.1,87.6,4.15,62.6,10.43,1.67,5.390000000000001,4.54,4.75,0.57,0.07,0.28,0.85,0.5,0.35,3.09,3.97,0.07,123.6,5.46,38.2,53.6,32.48,80.5,593.6,317.0,7.66,2.17,7.02,11.91,0.21,0.0,0.0,8.02,2.52,0.0,0.28,4.54,11.27,6.63,5.67,27.0,0.03016309241303373,0.803860835284438,0.7254677790618672
Diego Coppola,ITA,Hellas Verona,Serie A,Hellas Verona,20,192.0,78.0,0,28,27,2419,0.0,0.43,0.0,0.0,0.0,0.0,53.3,74.0,1269.0,0.0,3.62,74.0,56.5,16.89,53.3,1.11,0.0,2.08,1.16,0.92,1.16,0.0,0.87,1.88,0.58,1.3,1.01,3.59,0.1,87.80000000000001,34.72,56.8,25.45,6.23,40.7,209.9,116.2,0.87,1.01,0.14,1.16,0.53,0.0,0.0,1.06,0.1,0.0,0.29,1.16,6.99,2.32,2.61,3.8,0.0820525422958824,0.7988775773661959,0.7244074295387536
Mickey van de Ven,NED,Wolfsburg,Bundesliga,Tottenham Hotspur,23,193.0,81.0,1,43,43,3870,0.01,0.45,0.05,0.0,0.0,0.0,68.9,79.0,1403.0,0.05,2.75,79.0,68.8,10.13,68.9,0.6900000000000001,0.05,1.4,1.0,0.8,0.6,0.0,0.3399999999999999,1.2,0.7,0.5,0.9,3.75,0.14,89.2,30.6,58.3,27.860000000000003,3.5,55.1,279.9,171.1,1.1,0.8400000000000001,0.25,0.55,0.29,0.0,0.0,0.65,0.8400000000000001,0.05,0.45,1.0,6.880000000000001,1.37,1.29,31.0,0.13530470977215311,0.7874818387283121,0.7176657835490974
Lewis Dunk,ENG,Brighton,Premier League,Brighton & Hove Albion,32,192.0,88.0,0,22,21,1899,0.0,0.48,0.05,0.0,0.0,0.0,123.5,131.8,2604.0,0.0,23.71,131.8,128.7,3.05,123.5,10.57,0.05,20.62,10.38,10.52,10.1,0.0,0.48,1.1,0.76,0.33,1.0,2.67,0.0,169.4,11.3,66.4,91.1,12.05,109.9,565.8,204.1,0.52,0.43,10.14,0.05,0.1,0.0,0.0,10.57,0.62,0.05,0.05,10.38,16.759999999999998,1.62,11.48,17.5,1.0,0.7212522780854198,0.7151270502768778
Fikayo Tomori,ENG,Milan,Serie A,Milan,26,185.0,79.0,0,20,19,1642,0.02,3.2,1.6,0.0,0.0,0.0,80.6,106.4,1477.6,0.0,6.52,106.4,90.9,15.2,80.6,10.8,2.92,2.57,1.26,1.66,0.91,0.0,0.23,1.31,0.69,0.63,2.4,2.57,0.0,137.3,8.29,34.3,52.7,52.11,84.5,570.0,298.7,8.11,7.479999999999999,4.4,14.7,0.11,0.0,0.0,0.86,3.83,1.43,10.17,1.26,11.71,4.92,1.2,52.5,0.018280927755802444,0.7917175183790507,0.7137545987078021
Matija Nastasic,SRB,Mallorca,La Liga,Mallorca,31,188.0,83.0,1,25,23,2035,0.0,0.38,0.16,0.0,0.0,0.0,71.6,83.2,1489.4,0.0,5.87,83.2,80.5,2.37,71.6,0.97,0.0,2.23,1.3,1.61,0.4599999999999999,0.16,0.81,2.51,1.4200000000000002,1.09,3.4400000000000004,8.77,0.16,102.8,16.71,60.2,39.7,3.22,54.8,262.1,136.1,1.03,0.81,0.3,0.3399999999999999,0.28,0.06,0.0,1.9,0.43,0.22,0.0,1.3,6.880000000000001,2.31,2.03,4.6,0.10536759259575873,0.785173848909348,0.7136128128394964
Timothy Fosu Mensah,NED,Leverkusen,Bundesliga,Bayer 04 Leverkusen,26,185.0,85.0,0,20,11,1027,0.04,5.85,2.3200000000000003,0.39,0.2,0.29,76.4,101.9,1226.9,0.29,9.63,101.9,86.30000000000001,14.74,76.4,6.82,0.39,4.35,3.29,2.23,1.83,0.29,1.27,1.06,0.0,1.06,0.88,1.65,0.0,121.5,1.46,17.19,53.9,51.2,60.2,273.0,140.9,4.5600000000000005,2.91,2.34,13.01,1.16,0.0,0.0,3.1100000000000003,2.73,1.26,4.59,3.29,9.03,2.03,2.62,2.9,0.0820525422958824,0.7866888276890872,0.7134375548293558
Mouctar Diakhaby,GUI,Valencia,La Liga,Valencia,27,189.0,78.0,0,24,18,1538,0.03,1.48,0.93,0.0,0.0,0.0,67.1,88.0,1239.5,0.23,5.84,88.0,84.9,3.11,67.1,4.04,0.93,1.95,0.86,1.09,0.62,0.23,0.78,1.64,0.7,0.93,1.25,3.2,0.08,109.9,7.42,33.02,42.0,35.410000000000004,72.8,410.9,198.5,5.819999999999999,3.57,2.79,15.91,0.47,0.08,0.08,2.65,2.25,0.7799999999999999,9.53,0.86,9.18,1.87,2.03,8.5,0.038740220088236306,0.7898282596039975,0.7134045313604914
Marc Guehi,ENG,Crystal Palace,Premier League,Crystal Palace,23,182.0,82.0,0,23,21,1927,0.0,2.83,2.69,0.0,0.0,0.0,99.4,109.5,2061.7,0.0,10.6,109.5,102.2,7.140000000000001,99.4,5.71,0.0,1.57,0.76,1.33,0.24,0.0,0.43,1.48,0.9,0.57,1.14,13.71,0.1,134.8,22.0,55.8,70.2,9.12,65.9,296.6,137.0,0.33,0.29,0.19,0.1,0.33,0.0,0.0,3.21,1.1,0.0,0.0,0.76,10.86,6.24,3.6,20.5,0.018280927755802444,0.7798155659056044,0.7030428414817005
Julien Le Cardinal,FRA,Lens,Ligue 1,Brest,26,184.0,74.0,0,21,17,1536,0.03,7.1,2.71,0.37,0.0,0.0,88.8,118.0,1546.8,0.06,10.93,118.0,106.2,10.99,88.8,9.51,0.25,5.550000000000001,3.95,3.82,0.37,1.36,0.49,0.74,0.0,0.74,2.78,2.6500000000000004,0.0,147.10000000000002,3.95,17.35,67.0,65.19999999999999,98.3,613.4,276.7,7.4,10.37,2.16,16.66,0.25,0.06,0.06,1.54,3.5200000000000005,0.19,12.47,3.95,9.19,9.45,7.35,1.8,0.004051557190550468,0.7791969364445177,0.7015469697150046
Victor Chust,ESP,Cádiz,La Liga,Cadiz,24,184.0,76.0,0,29,25,2012,0.09,3.21,1.51,0.0,0.16,0.23,49.6,68.9,1076.4,0.16,4.23,68.9,64.5,3.94,49.6,2.9,0.16,1.23,0.86,0.9,0.27,0.08,1.17,1.21,0.32,0.8899999999999999,1.52,5.33,0.0,88.4,7.41,32.0,36.1,21.04,44.5,231.8,96.2,1.48,1.06,1.35,4.88,0.71,0.08,0.0,1.69,2.38,0.96,4.19,0.86,7.84,3.7,4.29,8.0,0.0067028264934285,0.776445118853993,0.6992453114705334
